Payer Organization,Parent Organization,Payer Type,Plan Type,State(s),Payer ID,Payer ID Alias,Website,Developer Portal,Provider Portal,Claim Status Electronic,Claim Status Standard,Claim Status API,Claim Status Direct Payer API,Claim Status Clearinghouse API,Claim Status FHIR,Claim Status Portal,Claim Status Voice Fallback,Claim Status Real-Time,Claim Status Batch,Eligibility Electronic,Eligibility Standard,Eligibility API,Eligibility Direct Payer API,Eligibility Clearinghouse API,Eligibility FHIR,Eligibility Portal,Eligibility Real-Time,Eligibility Batch,Benefits Available,Benefits via 271,Benefits via API,Deductible,Deductible Remaining,Copay,Coinsurance,OOP Maximum,OOP Remaining,Service-Specific Benefits,Network Benefits,Allowed Amount Available,Accumulator Data,Patient Responsibility Data,Patient Responsibility Calculation Required,Estimation API,Estimation Confidence,Prior Auth Electronic,Prior Auth X12 278,Prior Auth FHIR,Prior Auth API,Prior Auth Requirements API,Prior Auth Submission,Prior Auth Status,Prior Auth Approval,Prior Auth Denial Reason,Prior Auth Additional Info,Prior Auth Portal,Prior Auth Voice/Manual,Denial Data Available,ERA 835,CARC,RARC,277CA,Claim-Level Denial,Service-Level Denial,Denial API,Denial Portal,Appeal API,Electronic Appeal,Portal Appeal,Document Upload,Fax,Mail,Human Process,Appeal Status API,Appeal Tracking,Public API,Free API,Free Sandbox,Production API,Production Pricing,Usage Fee,Setup Fee,Enrollment Required,Provider Credential Required,Clearinghouse Required,API Authentication,OAuth,SMART on FHIR,API Documentation,FHIR Available,FHIR Version,Patient Access API,Provider Access API,Payer-to-Payer API,Prior Authorization API,Provider Directory API,FHIR Documentation,FHIR Sandbox,Portal Required,Voice Required,Human Fallback,Recommended Channel,Digital Coverage Score,Automation Readiness Score,Source URL 1,Source URL 2,Source URL 3,Source Type,Source Date,Last Verified Date,Confidence,Research Notes
Health Net,Centene Corporation,NAT,Commercial; Medicaid; MA,CA; AZ; OR,Varies,Varies by clearinghouse,https://www.healthnet.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
WellCare,Centene Corporation,MA,MA; Medicaid; PDP,National,Varies,Varies by clearinghouse,https://www.wellcare.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Ambetter,Centene Corporation,QHP,Exchange / Marketplace,Multi-state,Varies,Varies by clearinghouse,https://www.ambetterhealth.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Health Care Service Corp (HCSC),HCSC (mutual),BCBS,Commercial; MA; Medicaid; Exchange,IL; TX; OK; NM; MT,Varies,Varies by clearinghouse,https://www.hcsc.com,https://interoperability.hcsc.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (implied),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://interoperability.hcsc.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://interoperability.hcsc.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Independence Blue Cross,Independence Health Group,BCBS,Commercial; MA; Medicaid; Exchange,PA (SE),Varies,Varies by clearinghouse,https://www.ibx.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Highmark,Highmark Health,BCBS,Commercial; MA; Exchange,PA; WV; DE; NY,Varies,Varies by clearinghouse,https://www.highmark.com,https://cmsapiportal.hmhs.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,"R4 (4.0.1, explicit)",YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://cmsapiportal.hmhs.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://cmsapiportal.hmhs.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
CareFirst BCBS,CareFirst Inc.,BCBS,Commercial; MA; Exchange,MD; DC; VA (N),Varies,Varies by clearinghouse,https://www.carefirst.com,https://developer.carefirst.com/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (implied),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developer.carefirst.com/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developer.carefirst.com/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Florida Blue,GuideWell,BCBS,Commercial; MA; Exchange,FL,Varies,Varies by clearinghouse,https://www.floridablue.com,https://developer.bcbsfl.com/interop/interop-developer-portal/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4 (implied),YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://developer.bcbsfl.com/interop/interop-developer-portal/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://developer.bcbsfl.com/interop/interop-developer-portal/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Blue Shield of California,Blue Shield of California,BCBS,Commercial; MA; Medicaid; Exchange,CA,Varies,Varies by clearinghouse,https://www.blueshieldca.com,https://devportal-dev.blueshieldca.com/bsc/fhir-sandbox/,YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,YES,YES,YES,R4,YES,PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),YES,https://devportal-dev.blueshieldca.com/bsc/fhir-sandbox/,YES,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,90 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://devportal-dev.blueshieldca.com/bsc/fhir-sandbox/,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD/VENDOR,2024–2026,"August 18, 2026",High,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Anthem Blue Cross (CA),Elevance Health,BCBS,Commercial; MA; Medicaid; Exchange,CA,Varies,Varies by clearinghouse,https://www.anthem.com/ca,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Premera Blue Cross,Premera,BCBS,Commercial; MA; Exchange,WA; AK,Varies,Varies by clearinghouse,https://www.premera.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
Regence (Cambia),Cambia Health Solutions,BCBS,Commercial; MA; Exchange,OR; WA; ID; UT,Varies,Varies by clearinghouse,https://www.regence.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
BCBS of Michigan,BCBSM (mutual),BCBS,Commercial; MA; Exchange,MI,Varies,Varies by clearinghouse,https://www.bcbsm.com,UNKNOWN (CMS-9115 endpoint likely),YES,YES,276/277,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,270/271,YES (clearinghouse),UNKNOWN,YES,NO,YES,YES,YES,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,PARTIAL,YES,NO (own engine),Medium,PARTIAL,YES,PARTIAL (2027),PARTIAL,PARTIAL (Da Vinci CRD),PARTIAL,PARTIAL,PARTIAL,YES (2026),PARTIAL (Da Vinci DTR),YES,YES,YES,YES,YES,YES,YES,YES,YES,YES (clearinghouse),YES,UNKNOWN,PARTIAL,YES,PARTIAL,YES,YES,YES,UNKNOWN,PARTIAL,NO (direct); via clearinghouse,PARTIAL (clearinghouse sandbox/free tier),YES (clearinghouse),YES (clearinghouse),Transaction-based (clearinghouse),YES (per transaction),PARTIAL,PARTIAL,YES,YES,OAuth2 / API key,YES,PARTIAL,PARTIAL,PARTIAL (CMS-9115),R4 (if CMS-regulated),PARTIAL (CMS-9115),PARTIAL (2027),PARTIAL (2027),PARTIAL (2027),PARTIAL (CMS-9115),PARTIAL,PARTIAL,YES (PA/appeals),PARTIAL,YES,Clearinghouse EDI/API → (payer FHIR 2027) → Portal → Voice → Human,82,85 (HIGH),https://www.cms.gov/priorities/key-initiatives/burden-reduction/administrative-simplification/hipaa/adopted-standards-operating-rules,https://www.caqh.org/hubfs/Index/2024%20Index%20Report/CAQH_IndexReport_2024_FINAL.pdf,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,OFFICIAL/STANDARD,2024–2026,"August 18, 2026",Medium,CMS-regulated: CMS-9115 Patient Access/Provider Directory live; CMS-0057-F Provider Access/PA APIs due 2027. Provider-facing RCM (elig/status) via clearinghouse today.
